exp_id,episode,global_timestep,episode_steps,cost,duration
Medicine_pareto_test_20260511T201320,1,15,15,240.0,325.0
Medicine_pareto_test_20260511T201320,2,21,6,125.0,85.0
Medicine_pareto_test_20260511T201320,3,43,22,395.0,275.0
Medicine_pareto_test_20260511T201320,4,99,56,735.0,1155.0
Medicine_pareto_test_20260511T201320,5,109,10,195.0,165.0
Medicine_pareto_test_20260511T201320,6,123,14,220.0,280.0
Medicine_pareto_test_20260511T201320,7,138,15,235.0,300.0
Medicine_pareto_test_20260511T201320,8,148,10,205.0,195.0
Medicine_pareto_test_20260511T201320,9,158,10,175.0,245.0
Medicine_pareto_test_20260511T201320,10,180,22,280.0,380.0
Medicine_pareto_test_20260511T201320,11,187,7,125.0,140.0
Medicine_pareto_test_20260511T201320,12,195,8,130.0,150.0
Medicine_pareto_test_20260511T201320,13,208,13,220.0,295.0
Medicine_pareto_test_20260511T201320,14,213,5,85.0,120.0
Medicine_pareto_test_20260511T201320,15,238,25,340.0,425.0
Medicine_pareto_test_20260511T201320,16,252,14,220.0,210.0
Medicine_pareto_test_20260511T201320,17,266,14,255.0,305.0
Medicine_pareto_test_20260511T201320,18,279,13,225.0,180.0
Medicine_pareto_test_20260511T201320,19,294,15,295.0,270.0
Medicine_pareto_test_20260511T201320,20,308,14,195.0,285.0
Medicine_pareto_test_20260511T201320,21,330,22,305.0,545.0
Medicine_pareto_test_20260511T201320,22,341,11,220.0,165.0
Medicine_pareto_test_20260511T201320,23,350,9,180.0,145.0
Medicine_pareto_test_20260511T201320,24,372,22,385.0,405.0
Medicine_pareto_test_20260511T201320,25,387,15,260.0,295.0
Medicine_pareto_test_20260511T201320,26,396,9,130.0,135.0
Medicine_pareto_test_20260511T201320,27,402,6,120.0,130.0
Medicine_pareto_test_20260511T201320,28,435,33,520.0,465.0
Medicine_pareto_test_20260511T201320,29,487,52,740.0,1040.0
Medicine_pareto_test_20260511T201320,30,520,33,415.0,620.0
Medicine_pareto_test_20260511T201320,31,528,8,145.0,185.0
Medicine_pareto_test_20260511T201320,32,549,21,355.0,310.0
Medicine_pareto_test_20260511T201320,33,564,15,260.0,315.0
Medicine_pareto_test_20260511T201320,34,576,12,195.0,225.0
Medicine_pareto_test_20260511T201320,35,584,8,175.0,135.0
Medicine_pareto_test_20260511T201320,36,597,13,190.0,205.0
Medicine_pareto_test_20260511T201320,37,603,6,105.0,165.0
Medicine_pareto_test_20260511T201320,38,642,39,670.0,735.0
Medicine_pareto_test_20260511T201320,39,661,19,345.0,500.0
Medicine_pareto_test_20260511T201320,40,702,41,595.0,570.0
Medicine_pareto_test_20260511T201320,41,742,40,670.0,670.0
Medicine_pareto_test_20260511T201320,42,770,28,495.0,505.0
Medicine_pareto_test_20260511T201320,43,780,10,155.0,135.0
Medicine_pareto_test_20260511T201320,44,790,10,150.0,180.0
Medicine_pareto_test_20260511T201320,45,812,22,385.0,525.0
Medicine_pareto_test_20260511T201320,46,837,25,355.0,480.0
Medicine_pareto_test_20260511T201320,47,840,3,60.0,65.0
Medicine_pareto_test_20260511T201320,48,857,17,235.0,290.0
Medicine_pareto_test_20260511T201320,49,877,20,320.0,420.0
Medicine_pareto_test_20260511T201320,50,885,8,90.0,120.0
Medicine_pareto_test_20260511T201320,51,908,23,320.0,415.0
Medicine_pareto_test_20260511T201320,52,932,24,375.0,415.0
Medicine_pareto_test_20260511T201320,53,952,20,280.0,390.0
Medicine_pareto_test_20260511T201320,54,961,9,180.0,145.0
Medicine_pareto_test_20260511T201320,55,992,31,430.0,665.0
Medicine_pareto_test_20260511T201320,56,1015,23,345.0,480.0
Medicine_pareto_test_20260511T201320,57,1027,12,190.0,200.0
Medicine_pareto_test_20260511T201320,58,1063,36,670.0,710.0
Medicine_pareto_test_20260511T201320,59,1073,10,160.0,210.0
Medicine_pareto_test_20260511T201320,60,1084,11,195.0,220.0
Medicine_pareto_test_20260511T201320,61,1130,46,680.0,670.0
Medicine_pareto_test_20260511T201320,62,1148,18,290.0,290.0
Medicine_pareto_test_20260511T201320,63,1191,43,665.0,740.0
Medicine_pareto_test_20260511T201320,64,1208,17,245.0,320.0
Medicine_pareto_test_20260511T201320,65,1222,14,270.0,200.0
Medicine_pareto_test_20260511T201320,66,1226,4,80.0,110.0
Medicine_pareto_test_20260511T201320,67,1254,28,505.0,555.0
Medicine_pareto_test_20260511T201320,68,1261,7,145.0,130.0
Medicine_pareto_test_20260511T201320,69,1274,13,190.0,275.0
Medicine_pareto_test_20260511T201320,70,1299,25,390.0,555.0
Medicine_pareto_test_20260511T201320,71,1304,5,100.0,85.0
Medicine_pareto_test_20260511T201320,72,1342,38,610.0,910.0
Medicine_pareto_test_20260511T201320,73,1357,15,240.0,255.0
Medicine_pareto_test_20260511T201320,74,1362,5,75.0,90.0
Medicine_pareto_test_20260511T201320,75,1371,9,185.0,150.0
Medicine_pareto_test_20260511T201320,76,1375,4,80.0,110.0
Medicine_pareto_test_20260511T201320,77,1378,3,60.0,65.0
Medicine_pareto_test_20260511T201320,78,1400,22,345.0,335.0
Medicine_pareto_test_20260511T201320,79,1418,18,285.0,335.0
Medicine_pareto_test_20260511T201320,80,1457,39,580.0,645.0
Medicine_pareto_test_20260511T201320,81,1482,25,400.0,445.0
Medicine_pareto_test_20260511T201320,82,1487,5,95.0,80.0
Medicine_pareto_test_20260511T201320,83,1514,27,490.0,475.0
Medicine_pareto_test_20260511T201320,84,1520,6,120.0,130.0
Medicine_pareto_test_20260511T201320,85,1531,11,205.0,130.0
Medicine_pareto_test_20260511T201320,86,1551,20,295.0,375.0
Medicine_pareto_test_20260511T201320,87,1569,18,255.0,285.0
Medicine_pareto_test_20260511T201320,88,1603,34,570.0,740.0
Medicine_pareto_test_20260511T201320,89,1632,29,410.0,615.0
Medicine_pareto_test_20260511T201320,90,1652,20,365.0,405.0
Medicine_pareto_test_20260511T201320,91,1689,37,655.0,540.0
Medicine_pareto_test_20260511T201320,92,1722,33,455.0,560.0
Medicine_pareto_test_20260511T201320,93,1730,8,130.0,200.0
Medicine_pareto_test_20260511T201320,94,1736,6,75.0,95.0
Medicine_pareto_test_20260511T201320,95,1757,21,425.0,500.0
Medicine_pareto_test_20260511T201320,96,1765,8,140.0,110.0
Medicine_pareto_test_20260511T201320,97,1771,6,110.0,170.0
Medicine_pareto_test_20260511T201320,98,1790,19,280.0,505.0
Medicine_pareto_test_20260511T201320,99,1846,56,880.0,880.0
Medicine_pareto_test_20260511T201320,100,1869,23,340.0,435.0
Medicine_pareto_test_20260511T201320,101,1883,14,210.0,320.0
Medicine_pareto_test_20260511T201320,102,1937,54,815.0,995.0
Medicine_pareto_test_20260511T201320,103,1942,5,90.0,125.0
Medicine_pareto_test_20260511T201320,104,1955,13,240.0,145.0
Medicine_pareto_test_20260511T201320,105,1974,19,305.0,260.0
Medicine_pareto_test_20260511T201320,106,1996,22,325.0,365.0
Medicine_pareto_test_20260511T201320,107,2000,4,80.0,110.0
Medicine_pareto_test_20260511T201320,108,2010,10,165.0,165.0
Medicine_pareto_test_20260511T201320,109,2030,20,355.0,395.0
Medicine_pareto_test_20260511T201320,110,2037,7,110.0,175.0
Medicine_pareto_test_20260511T201320,111,2048,11,170.0,175.0
Medicine_pareto_test_20260511T201320,112,2062,14,260.0,240.0
Medicine_pareto_test_20260511T201320,113,2066,4,80.0,110.0
Medicine_pareto_test_20260511T201320,114,2071,5,90.0,125.0
Medicine_pareto_test_20260511T201320,115,2083,12,155.0,245.0
Medicine_pareto_test_20260511T201320,116,2092,9,195.0,110.0
